Platform,Destination,Departs,Expected,Origin,Operator,Unnamed: 6,date
2,Balloch,18:15,On time,Airdrie,ScotRail,Expand,2024-03-11
1,Bathgate,18:15,On time,Milngavie,ScotRail,Expand,2024-03-11
1,Airdrie,18:23,18:29,Balloch,ScotRail,Expand,2024-03-11
2,Milngavie,18:24,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Springburn,18:28,On time,Milngavie,ScotRail,Expand,2024-03-11
2,Helensburgh Central,18:34,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Edinburgh,18:36,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Milngavie,18:40,On time,Springburn,ScotRail,Expand,2024-03-11
2,Balloch,18:45,On time,Airdrie,ScotRail,Expand,2024-03-11
1,Airdrie,18:53,On time,Balloch,ScotRail,Expand,2024-03-11
2,Milngavie,18:55,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Springburn,18:58,On time,Milngavie,ScotRail,Expand,2024-03-11
2,Helensburgh Central,19:04,On time,Edinburgh,ScotRail,Expand,2024-03-11
2,Milngavie,19:10,On time,Springburn,ScotRail,Expand,2024-03-11
2,Balloch,19:15,On time,Airdrie,ScotRail,Expand,2024-03-11
2,Garscadden,19:23,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Airdrie,19:24,On time,Balloch,ScotRail,Expand,2024-03-11
1,Springburn,19:28,On time,Milngavie,ScotRail,Expand,2024-03-11
2,Helensburgh Central,19:34,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Edinburgh,19:35,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Milngavie,19:40,On time,Springburn,ScotRail,Expand,2024-03-11
2,Balloch,19:46,On time,Airdrie,ScotRail,Expand,2024-03-11
1,Airdrie,19:53,On time,Balloch,ScotRail,Expand,2024-03-11
1,Springburn,19:58,On time,Milngavie,ScotRail,Expand,2024-03-11
2,Helensburgh Central,20:04,On time,Edinburgh,ScotRail,Expand,2024-03-11
2,Milngavie,20:10,On time,Springburn,ScotRail,Expand,2024-03-11
2,Balloch,20:15,On time,Airdrie,ScotRail,Expand,2024-03-11
1,Edinburgh,20:23,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Balloch,20:41,On time,Springburn,ScotRail,Expand,2024-03-11
2,Helensburgh Central,20:50,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Edinburgh,20:51,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
1,Springburn,21:02,On time,Balloch,ScotRail,Expand,2024-03-11
1,Edinburgh,21:20,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Helensburgh Central,21:21,On time,Edinburgh,ScotRail,Expand,2024-03-11
2,Balloch,21:45,On time,Springburn,ScotRail,Expand,2024-03-11
2,Helensburgh Central,21:50,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Edinburgh,21:53,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
1,Springburn,22:02,On time,Balloch,ScotRail,Expand,2024-03-11
2,Helensburgh Central,22:20,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Edinburgh,22:21,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
1,Springburn,22:33,On time,Balloch,ScotRail,Expand,2024-03-11
2,Balloch,22:46,On time,Springburn,ScotRail,Expand,2024-03-11
2,Helensburgh Central,22:50,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Bathgate,22:51,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Helensburgh Central,23:20,On time,Edinburgh,ScotRail,Expand,2024-03-11
1,Bathgate,23:21,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
1,Springburn,23:32,On time,Balloch,ScotRail,Expand,2024-03-11
2,Balloch,23:39,On time,Springburn,ScotRail,Expand,2024-03-11
1,Bathgate,23:50,On time,Helensburgh Central,ScotRail,Expand,2024-03-11
2,Helensburgh Central,23:57,On time,Edinburgh,ScotRail,Expand,2024-03-11
